component,Tc,Pc,omega,A,B,C,MW
methane,190.6,45.99,0.011,3.9895,443.028,-0.49,16.04
ethane,305.3,48.72,0.099,4.5076,791.3,-6.422,30.07
propane,369.8,42.48,0.152,4.5368,1149.36,-24.906,44.10
n-butane,425.1,37.96,0.200,4.8076,1484.010,-33.763,58.12
n-pentane,469.7,33.70,0.252,5.0690,1808.060,-53.460,72.15
n-hexane,507.6,30.25,0.301,4.8200,1567.610,-57.850,86.18
benzene,562.2,48.98,0.212,4.7268,1660.652,-1.461,78.11
toluene,591.8,41.06,0.263,4.3413,1723.882,-28.289,92.14
water,647.1,220.64,0.345,5.4021,1838.675,-31.737,18.02
co2,304.2,73.83,0.228,5.2966,1346.818,-53.769,44.01
nitrogen,126.2,33.98,0.037,3.7362,264.651,-6.788,28.01
